nom,SIREN,COG,type,population,tranche_pop,adresse_courriel,telephone,site_internet
Lanouaille,212402275,24227,COM,1031,1000 ≤ hab < 3500,mairielanouaille@orange-business.fr,05 53 52 60 21,http://www.lanouaille.fr
Lanquais,212402283,24228,COM,511,hab < 1000,,,
Le Lardin-Saint-Lazare,212402291,24229,COM,1845,1000 ≤ hab < 3500,mairielelardin@fr.oleane.com,05 53 51 27 11,http://www.le-lardin.fr
Larzac,212402309,24230,COM,140,hab < 1000,,,
Lavalade,212402317,24231,COM,86,hab < 1000,mairie.lavalade@wanadoo.fr,05 53 22 44 13,http://www.lavalade.fr
Lavaur,212402325,24232,COM,70,hab < 1000,,,
Les Lèches,212402341,24234,COM,368,hab < 1000,mairie.lesleches@wanadoo.fr,05 53 80 11 31,http://www.les-leches.fr
Léguillac-de-l'Auche,212402366,24236,COM,993,hab < 1000,,,
Lembras,212402374,24237,COM,1181,1000 ≤ hab < 3500,,,
Lempzours,212402382,24238,COM,135,hab < 1000,mairie.lempzours@wanadoo.fr,05 53 55 03 03,http://www.lempzours.fr
Limeuil,212402408,24240,COM,349,hab < 1000,limeuil.mairie@wanadoo.fr,05 53 63 30 89,https://www.limeuil-en-perigord.com/fr/mairie/index.php
Limeyrat,212402416,24241,COM,457,hab < 1000,accueil@mairie-limeyrat.fr,05 53 04 40 82,http://www.limeyrat.net
Liorac-sur-Louyre,212402424,24242,COM,242,hab < 1000,mairiedeliorac@wanadoo.fr,05 53 63 02 57,http://www.liorac-sur-louyre.fr
Lisle,212402432,24243,COM,898,hab < 1000,mairie-de-lisle@wanadoo.fr,05 53 04 50 02,http://www.mairie-de-lisle.eu
Lolme,212402440,24244,COM,201,hab < 1000,,,
Loubejac,212402457,24245,COM,272,hab < 1000,mairie.loubejac@wanadoo.fr,05 53 29 90 48,http://www.loubejac.fr
Lunas,212402465,24246,COM,375,hab < 1000,mairie.lunas@wanadoo.fr,05 53 63 19 72,http://www.lunas-perigord.fr
Lusignac,212402473,24247,COM,185,hab < 1000,,,
Lussas-et-Nontronneau,212402481,24248,COM,317,hab < 1000,secretariat@lussasetnontronneau.fr,05 53 56 06 74,https://www.perigord-nontronnais.fr
Manzac-sur-Vern,212402515,24251,COM,615,hab < 1000,mairie.manzacsurvern@wanadoo.fr,05 53 54 28 73,http://www.manzacsurvern.fr
Marcillac-Saint-Quentin,212402523,24252,COM,802,hab < 1000,,,
Mareuil en Périgord,200065324,24253,COM,2463,1000 ≤ hab < 3500,mairiemareuil@wanadoo.fr,05 53 60 91 20,http://www.mareuil-en-perigord.fr
Marnac,212402549,24254,COM,194,hab < 1000,,,
Marquay,212402556,24255,COM,583,hab < 1000,,,
Marsac-sur-l'Isle,212402564,24256,COM,3231,1000 ≤ hab < 3500,contact@marsac.org,05 53 06 47 47,http://www.marsacsurlisle.fr
Marsalès,212402572,24257,COM,241,hab < 1000,marsalesmairie@wanadoo.fr,05 53 22 65 86,http://www.pays-de-bergerac.com
Eyraud-Crempse-Maurens,200082683,24259,COM,1641,1000 ≤ hab < 3500,,,
Mauzac-et-Grand-Castang,212402606,24260,COM,884,hab < 1000,mairie-mgc@orange.fr,05 53 22 50 57,http://www.mairiemauzacetgrandcastang.fr
Mauzens-et-Miremont,212402614,24261,COM,310,hab < 1000,mairie-mauzens.miremont@wanadoo.fr,05 53 03 23 17,http://www.mauzens-et-miremont.fr
Mayac,212402622,24262,COM,345,hab < 1000,mairiemayac1@orange.fr,05 53 05 01 91,http://www.mayac.fr
Mazeyrolles,212402630,24263,COM,326,hab < 1000,,,
Ménesplet,212402648,24264,COM,1833,1000 ≤ hab < 3500,mairiemenesplet@wanadoo.fr,05 53 80 35 30,http://www.menesplet.fr
Mensignac,212402663,24266,COM,1587,1000 ≤ hab < 3500,mairie.de.mensignac@wanadoo.fr,05 53 05 17 15,https://www.mensignac.fr
Mescoules,212402671,24267,COM,173,hab < 1000,,,
Meyrals,212402689,24268,COM,650,hab < 1000,mairie.meyrals@wanadoo.fr,05 53 31 35 20,http://www.meyrals.fr
Mialet,212402697,24269,COM,629,hab < 1000,,,
Milhac-de-Nontron,212402713,24271,COM,531,hab < 1000,,,
Minzac,212402721,24272,COM,462,hab < 1000,,,
Molières,212402739,24273,COM,329,hab < 1000,mairie.molieres@wanadoo.fr,05 53 63 19 23,http://www.molieres.fr
Monbazillac,212402747,24274,COM,945,hab < 1000,mairiemonbazillac@wanadoo.fr,05 53 58 30 32,https://www.monbazillac.fr/
Monestier,212402762,24276,COM,388,hab < 1000,monestier.mairie@wanadoo.fr,05 53 58 81 22,https://www.la-cab.fr/project/commune-de-monestier/
Monfaucon,212402770,24277,COM,307,hab < 1000,commune.monfaucon@wanadoo.fr,05 53 24 64 83,http://www.monfaucon.fr
Monmadalès,212402788,24278,COM,82,hab < 1000,mairie.monmadales@wanadoo.fr,05 53 58 74 54,http://www.ccpsp24.fr/fr/information/42084/monmadales
Monmarvès,212402796,24279,COM,63,hab < 1000,,,
Monpazier,212402804,24280,COM,484,hab < 1000,monpazier.mairie@wanadoo.fr,05 53 22 60 38,http://www.monpazier.fr
Monsac,212402812,24281,COM,200,hab < 1000,,,
Monsaguel,212402820,24282,COM,163,hab < 1000,,,
Montagnac-d'Auberoche,212402846,24284,COM,157,hab < 1000,mairie.montagnac.auberoche@wanadoo.fr,05 53 04 40 36,https://montagnac-auberoche.fr
Montagnac-la-Crempse,212402853,24285,COM,400,hab < 1000,mairie.montagnaclacrempse@wanadoo.fr,05 53 81 94 09,http://www.infos-montagnac.blogspot.fr
Montagrier,212402861,24286,COM,545,hab < 1000,mairiemontagrier@wanadoo.fr,05 53 91 96 44,http://www.montagrier.net
Montaut,212402879,24287,COM,131,hab < 1000,,,
Montazeau,212402887,24288,COM,310,hab < 1000,,,
Montcaret,212402895,24289,COM,1466,1000 ≤ hab < 3500,mairie-montcaret@wanadoo.fr,05 53 58 60 06,http://www.montcaret.fr
Montferrand-du-Périgord,212402903,24290,COM,162,hab < 1000,mairie.montferrandduperigord@wanadoo.fr,05 53 63 24 60,http://www.montferrand-du-perigord.fr
Montignac-Lascaux,212402911,24291,COM,2856,1000 ≤ hab < 3500,info@ville-montignac.com,05 53 51 72 00,http://www.ville-montignac.com
Montpeyroux,212402929,24292,COM,448,hab < 1000,,,
Monplaisant,212402937,24293,COM,293,hab < 1000,mairie.monplaisant@orange.fr,05 53 29 02 41,http://www.monplaisant.fr
Montpon-Ménestérol,212402945,24294,COM,5553,3500 ≤ hab < 10.000,accueil@montpon-menesterol.fr,05 53 80 30 21,http://www.montpon-menesterol.fr
Montrem,212402952,24295,COM,1282,1000 ≤ hab < 3500,mairie-de-montrem@wanadoo.fr,05 53 54 60 18,http://www.mairiedemontrem.fr
Mouleydier,212402960,24296,COM,1154,1000 ≤ hab < 3500,,,
Moulin-Neuf,212402978,24297,COM,930,hab < 1000,mairie.moulinneuf@wanadoo.fr,05 53 81 81 20,http://www.moulinneuf.fr
Mussidan,212402994,24299,COM,2789,1000 ≤ hab < 3500,mairie@mussidan.fr,05 53 81 04 07,http://www.mussidan.fr
Nabirat,212403000,24300,COM,382,hab < 1000,nabirat@orange.fr,05 53 28 44 58,http://www.nabirat.fr
Nadaillac,212403018,24301,COM,371,hab < 1000,mairie.nadaillac@wanadoo.fr,05 53 51 01 45,http://www.nadaillac.fr
Nailhac,212403026,24302,COM,327,hab < 1000,mairie.nailhac@wanadoo.fr,05 53 51 51 65,http://www.nailhac.eu
Nanteuil-Auriac-de-Bourzac,212403034,24303,COM,220,hab < 1000,,,
Nantheuil,212403042,24304,COM,983,hab < 1000,mairie.nantheuil@orange.fr,05 53 55 27 00,http://www.nantheuil.fr
Nanthiat,212403059,24305,COM,242,hab < 1000,,,
Nastringues,212403067,24306,COM,116,hab < 1000,mairie.nastringues@wanadoo.fr,05 53 22 73 24,http://www.pays-de-bergerac.com
Naussannes,212403075,24307,COM,250,hab < 1000,,,
Négrondes,212403083,24308,COM,842,hab < 1000,mairie@negrondes.fr,05 53 55 30 20,http://www.negrondes.fr
Neuvic,212403091,24309,COM,3650,3500 ≤ hab < 10.000,mairie@mairie-neuvic.fr,05 53 82 81 80,http://www.mairieneuvic.fr
Nontron,212403117,24311,COM,3212,1000 ≤ hab < 3500,etatcivil@nontron.fr,05 53 60 84 00,http://www.nontron.fr
Sanilhac,200065464,24312,COM,4690,3500 ≤ hab < 10.000,mairie@ndsanilhac.fr,05 53 53 31 12,http://www.sanilhac-perigord.fr
Orliac,212403133,24313,COM,63,hab < 1000,,,
Parcoul-Chenaud,200059046,24316,COM,776,hab < 1000,,,
Paulin,212403174,24317,COM,262,hab < 1000,mairie.paulin@orange.fr,05 53 28 91 06,http://www.paulin24.fr
Paunat,212403182,24318,COM,312,hab < 1000,paunat.mairie@wanadoo.fr,05 53 63 00 73,http://www.paunat.fr
Paussac-et-Saint-Vivien,212403190,24319,COM,466,hab < 1000,mairie.paussac@wanadoo.fr,05 53 04 54 82,http://www.paussacstvivien.fr
Payzac,212403208,24320,COM,1002,1000 ≤ hab < 3500,mairie.payzac24@wanadoo.fr,05 53 55 36 50,http://www.payzac24.fr
Pazayac,212403216,24321,COM,883,hab < 1000,mairie.pazayac@gmail.com,05 53 50 12 67,http://www.pazayac.com
Périgueux,212403224,24322,COM,31505,10.000 ≤ hab < 100.000,contact@perigueux.fr,05 53 02 82 00,http://www.perigueux.fr
Petit-Bersac,212403232,24323,COM,184,hab < 1000,mairie-de-petit-bersac@wanadoo.fr,05 53 90 08 61,http://www.petit-bersac.fr
Peyrignac,212403240,24324,COM,592,hab < 1000,mairie.peyrignac@wanadoo.fr,05 53 50 62 80,http://www.mairie-peyrignac.fr
Peyrillac-et-Millac,212400899,24325,COM,474,hab < 1000,mairie-peyrillac-et-millac@wanadoo.fr,05 53 29 75 07,http://www.peyrillac-et-millac.fr
Peyrillac-et-Millac,212403141,24325,COM,114,hab < 1000,mairie-peyrillac-et-millac@wanadoo.fr,05 53 29 75 07,http://www.peyrillac-et-millac.fr
Peyrillac-et-Millac,212403257,24325,COM,224,hab < 1000,mairie-peyrillac-et-millac@wanadoo.fr,05 53 29 75 07,http://www.peyrillac-et-millac.fr
Peyzac-le-Moustier,212403265,24326,COM,185,hab < 1000,mairie.peyzaclemoustier@orange.fr,05 53 50 78 15,http://www.peyzac-le-moustier-perigord.fr
Pezuls,212403273,24327,COM,120,hab < 1000,,,
Piégut-Pluviers,212403281,24328,COM,1214,1000 ≤ hab < 3500,,,
Le Pizou,212403299,24329,COM,1327,1000 ≤ hab < 3500,mairie.lepizou@wanadoo.fr,05 53 82 83 85,http://www.lepizou.fr
Plazac,212403307,24330,COM,725,hab < 1000,plazac.mairie@wanadoo.fr,05 53 50 71 22,http://www.plazac.fr
Pomport,212403315,24331,COM,767,hab < 1000,mairie.pomport@wanadoo.fr,05 53 58 42 15,https://www.la-cab.frcommunes/pomport
Pontours,212403349,24334,COM,199,hab < 1000,,,
Port-Sainte-Foy-et-Ponchapt,212403356,24335,COM,2561,1000 ≤ hab < 3500,mairie@port-sainte-foy.info,05 53 22 24 10,https://www.port-sainte-foy.info
Prats-de-Carlux,212403364,24336,COM,576,hab < 1000,mairie.prats.de.carlux@wanadoo.fr,05 53 29 77 97,https://www.pratsdecarlux.fr/
Prats-du-Périgord,212403372,24337,COM,149,hab < 1000,mairiepratsduperigord@wanadoo.fr,05 53 29 95 80,http://www.prats-du-perigord.fr
Pressignac-Vicq,212403380,24338,COM,451,hab < 1000,,,
Preyssac-d'Excideuil,212403398,24339,COM,171,hab < 1000,,,
Prigonrieux,212403406,24340,COM,4227,3500 ≤ hab < 10.000,mairie@ville-prigonrieux.fr,05 53 61 55 55,http://www.ville-prigonrieux.fr
Proissans,212403414,24341,COM,1026,1000 ≤ hab < 3500,proissans.mairie@wanadoo.fr,05 53 59 15 62,http://www.proissans.com
Queyssac,212403455,24345,COM,484,hab < 1000,mairie.queyssac@wanadoo.fr,05 53 24 23 62,http://www.queyssac.com
Quinsac,212403463,24346,COM,377,hab < 1000,mairiedequinsac2@wanadoo.fr,05 53 54 20 82,https://dronneetbelle.fr/Quinsac.html
Rampieux,212403471,24347,COM,149,hab < 1000,,,
Razac-d'Eymet,212403489,24348,COM,294,hab < 1000,mairie.razac-eymet@wanadoo.fr,05 53 24 50 17,http://www.eymet-dordogne.frfrinformation/19504/razac-eymet
Razac-de-Saussignac,212403497,24349,COM,354,hab < 1000,mairie.razacdesaussignac@wanadoo.fr,05 53 27 92 64,https://www.la-cab.fr/project/commune-de-razac-de-saussignac/
Razac-sur-l'Isle,212403505,24350,COM,2437,1000 ≤ hab < 3500,mairie@razacsurlisle.fr,05 53 54 60 20,http://www.razac-sur-lisle.com
Ribagnac,212403513,24351,COM,322,hab < 1000,,,
Ribérac,212403521,24352,COM,4082,3500 ≤ hab < 10.000,mairie@mairie-riberac.fr,05 53 92 41 51,http://villederiberac.fr
La Rochebeaucourt-et-Argentine,212403539,24353,COM,324,hab < 1000,rochebeaucourt-mairie@wanadoo.fr,05 53 60 92 53,http://www.larochebeaucourt.fr
La Roche-Chalais,212403547,24354,COM,3037,1000 ≤ hab < 3500,accueil@larochechalais.fr,05 53 92 47 00,http://www.larochechalais.fr
La Roque-Gageac,212403554,24355,COM,457,hab < 1000,mairie-la-roque-gageac@wanadoo.fr,05 53 29 51 52,http://www.laroquegageac.fr
Rouffignac-Saint-Cernin-de-Reilhac,212403562,24356,COM,1620,1000 ≤ hab < 3500,mairie@rouffignac-perigordnoir.fr,05 53 05 46 46,http://www.rouffignac-perigordnoir.fr
Rouffignac-de-Sigoulès,212403570,24357,COM,328,hab < 1000,,,
Sadillac,212403596,24359,COM,118,hab < 1000,mairie.sadillac@orange.fr,05 53 58 44 96,http://www.pays-de-bergerac.com
Sagelat,212403604,24360,COM,312,hab < 1000,,,
Saint-Agne,212403612,24361,COM,446,hab < 1000,,,
Val de Louyre et Caudeau,200065332,24362,COM,1650,1000 ≤ hab < 3500,mairie@ville-sainte-alvere.fr,05 53 73 55 80,https://www.valdelouyre-et-caudeau.fr
Coly-Saint-Amand,200082691,24364,COM,632,hab < 1000,contact@colysaintamand.fr,05 53 51 47 85,http://www.colysaintamand.fr
Saint-Amand-de-Vergt,212403653,24365,COM,254,hab < 1000,,,
Saint-André-d'Allas,212403661,24366,COM,852,hab < 1000,mairie@saintandreallas.fr,05 53 59 23 02,http://www.saintandreallas.fr
Saint-André-de-Double,212403679,24367,COM,173,hab < 1000,,,
Saint-Antoine-de-Breuilh,212403703,24370,COM,1933,1000 ≤ hab < 3500,mairie.st.antoine.breuilh24@wanadoo.fr,05 53 74 51 20,https://www.saintantoinedebreuilh.wordpress.com
Saint-Aquilin,212403711,24371,COM,488,hab < 1000,mairie.saint.aquilin@wanadoo.fr,05 53 54 12 43,http://www.saintaquilin.fr
Saint-Astier,212403729,24372,COM,5754,3500 ≤ hab < 10.000,mairie@saint-astier.fr,05 53 02 42 80,http://www.saint-astier.fr
Saint-Aubin-de-Cadelech,212403737,24373,COM,339,hab < 1000,,,
Saint-Aubin-de-Lanquais,212403745,24374,COM,339,hab < 1000,mairie.saintaubindelanquais@wanadoo.fr,05 53 24 33 70,http://www.ccpsp24.fr/fr/information/42098/saint-aubin-de-lanquais
Saint-Aubin-de-Nabirat,212403752,24375,COM,143,hab < 1000,,,
Saint Aulaye-Puymangou,200059152,24376,COM,1459,1000 ≤ hab < 3500,staulaye.mairie@gmail.com,05 53 90 81 33,http://www.saint-aulaye.com
Saint-Avit-de-Vialard,212403778,24377,COM,165,hab < 1000,commune-st-avit-de-vialard@orange.fr,05 53 07 43 40,http://www.saint-avit-de-vialard.fr
Saint-Avit-Rivière,212403786,24378,COM,81,hab < 1000,mairie-saintavitriviere@wanadoo.fr,05 53 63 27 65,http://ccbdp.frsig/les-communes
Saint-Avit-Sénieur,212403794,24379,COM,461,hab < 1000,mairiesaintavitsenieur@wanadoo.fr,05 53 22 32 27,http://www.saint-avit-senieur.fr
Saint-Barthélemy-de-Bellegarde,212403802,24380,COM,518,hab < 1000,mairie-st.barthelemy@wanadoo.fr,05 53 80 36 06,http://www.saint-barthelemy-de-bellegarde.fr
Saint-Barthélemy-de-Bussière,212403810,24381,COM,220,hab < 1000,,,
Saint-Capraise-de-Lalinde,212403828,24382,COM,563,hab < 1000,mairie.stcapraise-lalinde@wanadoo.fr,05 53 63 47 65,http://www.stcapraiselalinde.com
Saint-Capraise-d'Eymet,212403836,24383,COM,154,hab < 1000,,,
Saint-Cassien,212403844,24384,COM,35,hab < 1000,mairie.saintcassien@wanadoo.fr,05 53 74 12 81,http://www.saint-cassien24.fr
Saint-Cernin-de-Labarde,212403851,24385,COM,208,hab < 1000,,,
Saint-Cernin-de-l'Herm,212403869,24386,COM,237,hab < 1000,mairie.386@orange.fr,05 53 29 94 18,http://www.saint-cernin-de-lherm-24.fr
Saint-Chamassy,212403885,24388,COM,535,hab < 1000,saint.chamassy@wanadoo.fr,05 53 07 24 03,http://www.saint-chamassy.fr
Saint-Crépin-d'Auberoche,212403901,24390,COM,353,hab < 1000,secretariat@saintcrepindauberoche.com,05 53 02 87 87,http://www.saint-crepin-dauberoche.fr
Saint-Crépin-et-Carlucet,212403927,24392,COM,528,hab < 1000,crepin.et.carlucet@wanadoo.fr,05 53 28 81 74,http://www.stcrepincarlucet.fr
Sainte-Croix,212403935,24393,COM,88,hab < 1000,,,
Sainte-Croix-de-Mareuil,212403943,24394,COM,154,hab < 1000,,,
Saint-Cybranet,212403950,24395,COM,405,hab < 1000,mairie-saint-cybranet@wanadoo.fr,05 53 28 65 40,http://www.saint-cybranet.fr
Saint-Cyprien,212403968,24396,COM,1634,1000 ≤ hab < 3500,mairie@saintcyprien24.fr,05 53 29 28 22,http://www.saintcyprien24.fr
Saint-Cyr-les-Champagnes,212403976,24397,COM,253,hab < 1000,mairie.st-cyr-les-champagnes@wanadoo.fr,05 53 52 72 34,http://www.saint-cyr-les-champagnes.fr
Saint-Estèphe,212403984,24398,COM,632,hab < 1000,mairie@stestephe.fr,05 53 60 86 50,http://www.saintestephe.fr
Saint-Étienne-de-Puycorbier,212403992,24399,COM,112,hab < 1000,,,
Sainte-Eulalie-d'Ans,212404016,24401,COM,308,hab < 1000,mairie@steeulaliedans.fr,05 53 51 13 05,http://www.sainte-eulalie-d-ans.fr
Saint-Félix-de-Bourdeilles,212404032,24403,COM,65,hab < 1000,,,
Saint-Félix-de-Reillac-et-Mortemart,212404040,24404,COM,191,hab < 1000,mairie@saint-felix-de-reilhac-et-mortemart.fr,05 53 03 22 93,http://www.saint-felix-de-reilhac-et-mortemart.fr
Saint-Félix-de-Villadeix,212404057,24405,COM,321,hab < 1000,,,
Sainte-Foy-de-Belvès,212404065,24406,COM,140,hab < 1000,,,
Sainte-Foy-de-Longas,212404073,24407,COM,242,hab < 1000,mairie-stefoydelongas@wanadoo.fr,05 53 22 72 51,http://www.sainte-foy-de-longas.fr
Saint-Front-d'Alemps,212404081,24408,COM,272,hab < 1000,mairie.stfront-dalemps@orange.fr,05 53 06 35 81,https://www.perigord-limousin.fr/st-front-dalemps/
Saint-Front-de-Pradoux,212404099,24409,COM,1165,1000 ≤ hab < 3500,mairie.stfront.pradoux@orange.fr,05 53 81 01 89,http://www.saintfrontdepradoux.fr
Saint-Front-la-Rivière,212404107,24410,COM,543,hab < 1000,,,
Saint-Front-sur-Nizonne,212404115,24411,COM,159,hab < 1000,,,
Saint-Geniès,212404123,24412,COM,982,hab < 1000,mairie.st.genies24@orange.fr,05 53 28 98 70,http://www.saintgenies.com
Saint-Georges-Blancaneix,212404131,24413,COM,239,hab < 1000,,,
Saint-Georges-de-Montclard,212404149,24414,COM,301,hab < 1000,,,
Saint-Géraud-de-Corps,212404156,24415,COM,240,hab < 1000,st-geraud-de-corps.cne@wanadoo.fr,05 53 82 49 61,https://www.cdcmontaignemontravelgurson.fr/commune-saint-geraud-de-corps.html
Saint-Germain-de-Belvès,212404164,24416,COM,185,hab < 1000,,,
Saint-Germain-des-Prés,212404172,24417,COM,527,hab < 1000,stgermaindespres.mairie@wanadoo.fr,05 53 55 31 15,http://www.saint-germain-des-pres.fr
Saint-Germain-du-Salembre,212404180,24418,COM,943,hab < 1000,mairie-saint-germain-du-salembre@wanadoo.fr,05 53 82 60 15,http://www.saintgermaindusalembre.fr
Saint-Germain-et-Mons,212404198,24419,COM,831,hab < 1000,,,
Saint-Géry,212404206,24420,COM,236,hab < 1000,,,
Saint-Geyrac,212404214,24421,COM,211,hab < 1000,,,
Saint-Hilaire-d'Estissac,212404222,24422,COM,112,hab < 1000,mairie.sainthilairedestissac@wanadoo.fr,05 53 81 93 42,http://www.saint-hilaire-destissac.fr
Saint-Julien-Innocence-Eulalie,200082709,24423,COM,296,hab < 1000,,,
Saint-Jean-d'Ataux,212404248,24424,COM,127,hab < 1000,,,
Saint-Jean-de-Côle,212404255,24425,COM,366,hab < 1000,mairie.stjeandecole@wanadoo.fr,05 53 62 30 21,http://www.ville-saint-jean-de-cole.fr
Saint-Jean-d'Estissac,212404263,24426,COM,173,hab < 1000,,,
Saint-Jory-de-Chalais,212404289,24428,COM,617,hab < 1000,,,
Saint-Jory-las-Bloux,212404297,24429,COM,245,hab < 1000,,,
Saint-Julien-de-Lampon,212404321,24432,COM,635,hab < 1000,mairie-st-julien-lampo@wanadoo.fr,05 53 29 46 11,http://www.saint-julien-de-lampon.fr
Saint-Just,212404347,24434,COM,133,hab < 1000,,,
Saint-Laurent-des-Hommes,212404362,24436,COM,1039,1000 ≤ hab < 3500,mairie-saint-laurent-des-hommes@wanadoo.fr,05 53 81 70 12,http://www.saint-laurent-des-hommes.com
Saint-Laurent-des-Vignes,212404370,24437,COM,898,hab < 1000,mairie.saintlaurent@wanadoo.fr,05 53 74 55 40,http://www.saintlaurentdesvignes.com
Saint-Laurent-la-Vallée,212404388,24438,COM,263,hab < 1000,,,
Saint-Léon-d'Issigeac,212404412,24441,COM,122,hab < 1000,,,
Saint-Léon-sur-l'Isle,212404420,24442,COM,2053,1000 ≤ hab < 3500,accueil.saintleon24110@gmail.com,05 53 80 65 18,http://saintleon.mairie.free.fr
Saint-Léon-sur-Vézère,212404438,24443,COM,438,hab < 1000,contact@saint-leon-sur-vezere.fr,05 53 50 73 16,http://www.saint-leon-sur-vezere.fr
Saint-Louis-en-l'Isle,212404446,24444,COM,309,hab < 1000,mairie@saint-louis-en-lisle.fr,09 61 23 52 90,http://www.saint-louis-en-lisle.fr
Saint-Marcel-du-Périgord,212404453,24445,COM,148,hab < 1000,,,
Saint-Marcory,212404461,24446,COM,55,hab < 1000,,,
Saint-Martial-d'Albarède,212404487,24448,COM,477,hab < 1000,mairie-st-martial-albarede@wanadoo.fr,05 53 62 48 11,http://www.saintmartialdalbarede.com
Saint-Martial-d'Artenset,212404495,24449,COM,981,hab < 1000,mairie-de-saint-martial-darten@wanadoo.fr,05 53 80 35 77,http://www.saint-martial-dartenset.fr
Saint-Martial-de-Nabirat,212404503,24450,COM,597,hab < 1000,,,
Saint-Martial-de-Valette,212404511,24451,COM,805,hab < 1000,mairie.stmartialvalette@wanadoo.fr,05 53 56 04 63,http://saint-martial-de-valette.fr
Saint-Martial-Viveyrol,212404529,24452,COM,198,hab < 1000,,,
Saint-Martin-de-Fressengeas,212404537,24453,COM,366,hab < 1000,,,
Saint-Martin-de-Gurson,212404545,24454,COM,680,hab < 1000,mairie.saint-martin-de-gurson@wanadoo.fr,05 53 80 78 18,http://www.pays-de-bergerac.com
Saint-Martin-de-Ribérac,212404552,24455,COM,728,hab < 1000,,,
Saint-Martin-des-Combes,212404560,24456,COM,196,hab < 1000,mairie.stmartindescombes@wanadoo.fr,05 53 82 97 09,http://www.saint-martin-des-combes.fr
Saint-Martin-l'Astier,212404578,24457,COM,140,hab < 1000,,,
Saint-Martin-le-Pin,212404586,24458,COM,283,hab < 1000,mairie.saintmartinlepin@wanadoo.fr,05 53 56 07 96,https://www.perigord-nontronnais.fr/commune/saint-martin-le-pin/
Saint-Mayme-de-Péreyrol,212404594,24459,COM,292,hab < 1000,mairie.stmayme-de-pereyrol@wanadoo.fr,05 53 54 76 33,http://www.saint-mayme-de-pereyrol.fr
Saint-Méard-de-Drône,212404602,24460,COM,506,hab < 1000,,,
Saint-Méard-de-Gurçon,212404610,24461,COM,824,hab < 1000,st-meard-24-mairie@wanadoo.fr,05 53 82 49 20,https://www.stmearddegurçon.fr/
Saint-Médard-de-Mussidan,212404628,24462,COM,1739,1000 ≤ hab < 3500,mairie@stmedarddemussidan.fr,05 53 81 00 29,http://www.stmedarddemussidan.fr
Saint-Médard-d'Excideuil,212404636,24463,COM,553,hab < 1000,,,
Saint-Mesmin,212404644,24464,COM,316,hab < 1000,secretariat.mairiesaintmesmin@orange.fr,05 53 52 71 02,https://www.saint-mesmin.fr
Saint-Michel-de-Double,212404651,24465,COM,250,hab < 1000,,,
Saint-Michel-de-Montaigne,212404669,24466,COM,351,hab < 1000,mairie.st-micheldemontaigne@wanadoo.fr,05 53 58 60 51,https://www.castillonpujols.fr/la-cdc/les-31-communes/saint-michel-de-montaigne/
Saint-Michel-de-Villadeix,212404685,24468,COM,318,hab < 1000,,,
Sainte-Mondane,212404701,24470,COM,267,hab < 1000,mairie.ste.mondane@wanadoo.fr,05 53 29 71 73,https://www.saintemondane.fr/
Sainte-Nathalène,212404719,24471,COM,594,hab < 1000,mairie.ste.nathalene@wanadoo.fr,05 53 59 01 38,http://www.saintenathalene.fr
Saint-Nexans,212404727,24472,COM,976,hab < 1000,mairie.saint-nexans@wanadoo.fr,05 53 24 33 52,http://www.saintnexans.com
Sainte-Orse,212404735,24473,COM,366,hab < 1000,,,
Saint-Pancrace,212404743,24474,COM,182,hab < 1000,,,
Saint-Pantaly-d'Excideuil,212404768,24476,COM,147,hab < 1000,,,
Saint-Pardoux-de-Drône,212404776,24477,COM,206,hab < 1000,,,
Saint-Pardoux-et-Vielvic,212404784,24478,COM,223,hab < 1000,,,
Saint-Pardoux-la-Rivière,212404792,24479,COM,1194,1000 ≤ hab < 3500,,,
Saint-Paul-de-Serre,212404800,24480,COM,285,hab < 1000,stpaul.mairie@gmail.com,05 53 54 28 95,http://www.saintpauldeserre.fr
Saint-Paul-la-Roche,212404818,24481,COM,525,hab < 1000,,,
Saint-Paul-Lizonne,212404826,24482,COM,274,hab < 1000,,,
Saint-Perdoux,212404834,24483,COM,136,hab < 1000,,,
Saint-Pierre-de-Chignac,212404842,24484,COM,886,hab < 1000,accueilsaintpierredechignac@orange.fr,05 53 45 43 31,http://www.stpierredechignac.notremairie.fr
Saint-Pierre-de-Côle,212404859,24485,COM,451,hab < 1000,mairie.saintpierredecole@orange.fr,05 53 62 31 14,http://www.saint-pierre-de-cole.fr
Saint-Pierre-de-Frugie,212404867,24486,COM,394,hab < 1000,mairie.saintpierredefrugie@wanadoo.fr,05 53 52 82 86,http://www.saintpierredefrugie.fr
Saint-Pierre-d'Eyraud,212404875,24487,COM,1804,1000 ≤ hab < 3500,,,
Saint-Pompont,212404883,24488,COM,400,hab < 1000,mairie.stpompon@orange.fr,05 53 28 48 90,http://www.saintpompon-commune.fr
Saint-Priest-les-Fougères,212404891,24489,COM,385,hab < 1000,,,
Saint Privat en Périgord,200065399,24490,COM,1182,1000 ≤ hab < 3500,mairie-stprivat-en-perigord@orange.fr,05 53 91 22 87,http://www.saint-privat-en-perigord.fr
Saint-Rabier,212404917,24491,COM,597,hab < 1000,mairie.saintrabier@wanadoo.fr,05 53 50 61 15,http://www.saint-rabier.fr
Sainte-Radegonde,212404925,24492,COM,65,hab < 1000,,,
Saint-Raphaël,212404933,24493,COM,99,hab < 1000,,,
Saint-Rémy,212404941,24494,COM,509,hab < 1000,,,
