nom,SIREN,type,code_region,code_departement,population,tranche_pop,adresse_courriel,telephone,site_internet
CC Bresse Louhannaise Intercom',200071579,CC,27,71,29196,10.000 ≤ hab < 100.000,mifecccl@orange.fr,03 85 74 96 78,http://www.bresselouhannaiseintercom.fr
CC Bresse Nord Intercom,247100647,CC,27,71,6674,3500 ≤ hab < 10.000,accueil@bressenordintercom.fr,03 85 76 30 60,https://www.bressenordintercom.fr
CC Bresse Revermont 71,200042414,CC,27,71,10019,10.000 ≤ hab < 100.000,ccbr71@orange.fr,03 85 72 02 19,http://www.ccbresserevermont71.fr
CC Bretagne porte de Loire Communauté,200070662,CC,53,35,32447,10.000 ≤ hab < 100.000,accueil@bretagneportedeloire.fr,02 99 43 70 80,http://www.bretagneportedeloire.fr
CC Bretagne Romantique,243500733,CC,53,35,35699,10.000 ≤ hab < 100.000,accueil@bretagneromantique.fr,02 99 45 23 45,http://www.bretagneromantique.fr
CC Briance Sud Haute Vienne,200040814,CC,75,87,9302,3500 ≤ hab < 10.000,,,
CC Briance-Combade,248719338,CC,75,87,5618,3500 ≤ hab < 10.000,,,
CC Brie des Rivières et Châteaux,200070779,CC,11,77,39445,10.000 ≤ hab < 100.000,accueil@ccbrc.fr,01 60 66 67 10,https://www.briedesrivieresetchateaux.fr
CC Brie Nangissienne,247700701,CC,11,77,27871,10.000 ≤ hab < 100.000,secretariat@brienangissienne.fr,01 64 01 13 82,http://www.brienangissienne.fr
CC Brioude Sud Auvergne,200085728,CC,84,43,17806,10.000 ≤ hab < 100.000,accueil@brioudesudauvergne.fr,04 71 50 89 10,http://www.cc-brivadois.fr
CC Bruyères-Vallons des Vosges,200042000,CC,44,88,15691,10.000 ≤ hab < 100.000,,,
CC Buëch-Dévoluy,200067445,CC,93,05,9636,3500 ≤ hab < 10.000,accueil@ccbd.fr,04 92 58 02 42,http://www.ccbuechdevoluy.fr
CC Bugey Sud,200040350,CC,84,01,34828,10.000 ≤ hab < 100.000,accueil@ccbugeysud.com,04 79 81 41 05,http://www.ccbugeysud.com
CC Cagire Garonne Salat,200073146,CC,76,31,18282,10.000 ≤ hab < 100.000,secretariat@cagiregaronnesalat.fr,05 61 98 49 30,http://www.cagiregaronnesalat.fr
CC Campagne-de-Caux,247600505,CC,28,76,15314,10.000 ≤ hab < 100.000,accueil@campagne-de-caux.fr,02 35 29 65 85,http://www.campagne-de-caux.fr
CC Canaux et Forêts en Gâtinais,200067676,CC,24,45,28623,10.000 ≤ hab < 100.000,accueil@comcomcfg.fr,02 38 92 31 11,http://www.comcomcfg.fr
CC Cap Sizun - Pointe du Raz,242900629,CC,53,29,15784,10.000 ≤ hab < 100.000,contactcc@cap-sizun.fr,02 98 70 16 00,http://www.cap-sizun.fr
CC Carmausin-Ségala,200040905,CC,76,81,30250,10.000 ≤ hab < 100.000,,,
CC Carnelle Pays-De-France,200073013,CC,11,95,32097,10.000 ≤ hab < 100.000,,,
CC Castelnaudary Lauragais Audois,200035855,CC,76,11,27281,10.000 ≤ hab < 100.000,contact@cccla.fr,04 68 23 68 43,http://www.cccla.fr
CC Castillon/Pujols,243301454,CC,75,"24,33",19459,10.000 ≤ hab < 100.000,secretariat@castillonpujols.fr,05 57 56 08 70,http://www.castillonpujols.fr
CC Causses Aigoual Cévennes,200034601,CC,76,30,5681,3500 ≤ hab < 10.000,c.c@cac-ts.fr,04 67 82 73 79,http://www.caussesaigoualcevennes.com
CC Caux - Austreberthe,247600646,CC,28,76,25535,10.000 ≤ hab < 100.000,accueil@cc-caux-austreberthe.fr,02 32 94 92 15,http://www.cccauxaustreberthe.fr
CC Cazals-Salviac,200035327,CC,76,46,5446,3500 ≤ hab < 10.000,accueil@cc-cazalssalviac.fr,05 65 41 62 40,http://www.cc-cazalssalviac.fr
CC Celavu-Prunelli,242000503,CC,94,2A,8776,3500 ≤ hab < 10.000,contact@celavu-prunelli.fr,04 95 29 19 40,http://www.celavu-prunelli.fr
CC Centre Morbihan Communauté,200067221,CC,53,56,43793,10.000 ≤ hab < 100.000,,,
CC Centre Tarn,200034049,CC,76,81,11207,10.000 ≤ hab < 100.000,,,
CC Cère et Goul en Carladès,241501089,CC,84,15,5043,3500 ≤ hab < 10.000,secretariat@carlades.fr,04 71 47 89 00,http://www.carlades.com
CC Chablis Villages et Terroirs,200067080,CC,27,89,15552,10.000 ≤ hab < 100.000,,,
CC Chabris - Pays de Bazelle,243600202,CC,24,36,6409,3500 ≤ hab < 10.000,contact@chabris-bazelle.fr,02 54 40 15 88,http://www.chabris-bazelle.fr
CC Challans-Gois Communauté,200071629,CC,52,85,47368,10.000 ≤ hab < 100.000,,,
CC Chalosse Tursan,200069649,CC,75,40,26721,10.000 ≤ hab < 100.000,contact@chalossetursan.fr,05 58 76 41 41,http://www.chalossetursan.fr
CC Champagne Boischauts,200068880,CC,24,36,10197,10.000 ≤ hab < 100.000,accueil@cc-champagne-boischauts.fr,02 54 49 77 07,http://www.cc-champagne-boischauts.fr
CC Champagnole Nozeroy Jura,200069623,CC,27,39,23024,10.000 ≤ hab < 100.000,contact@champagnolenozeroyjura.fr,03 84 52 06 20,http://www.champagnolenozeroyjura.fr
CC Champsaur-Valgaudemar,200068096,CC,93,05,11474,10.000 ≤ hab < 100.000,contact@champsaur-valgaudemar.fr,04 92 50 00 20,http://www.champsaur-valgaudemar.fr
CC Charlieu-Belmont,200035202,CC,84,42,24277,10.000 ≤ hab < 100.000,contact@charlieubelmont.com,04 77 69 03 06,http://www.charlieubelmont.com
CC Châteaubriant-Derval,200072726,CC,52,44,45779,10.000 ≤ hab < 100.000,accueil@cc-chateaubriant-derval.fr,02 28 04 06 33,http://www.cc-chateaubriant-derval.fr
CC Chavanon Combrailles et Volcans,200071215,CC,84,63,13224,10.000 ≤ hab < 100.000,contact@ccvcommunaute.fr,04 73 79 70 70,http://www.ccvcommunaute.fr
"CC Chinon,Vienne et Loire",200043081,CC,24,37,24389,10.000 ≤ hab < 100.000,info@cc-cvl.fr,02 47 93 78 78,http://www.chinon-vienne-loire.fr
CC Cingal-Suisse Normande,200066710,CC,28,14,24474,10.000 ≤ hab < 100.000,cdc@cingal-suissenormande.fr,02 31 79 61 61,http://www.suisse-normande.com
CC Cœur d'Astarac en Gascogne,243200425,CC,76,32,8250,3500 ≤ hab < 10.000,contact@coeur-dastarac.fr,05 62 66 51 48,http://www.coeur-dastarac.fr
CC Cœur d'Yvelines,247800618,CC,11,78,50521,10.000 ≤ hab < 100.000,accueil@cccy.fr,01 34 89 23 17,http://www.coeur-yvelines.fr
CC Cœur de Beauce,200070159,CC,24,28,25308,10.000 ≤ hab < 100.000,"contact@coeurdebeauce.fr, cdc@terresdeperche.fr","02 37 90 15 41, 02 37 81 29 59","http://www.coeurdebeauce.fr, http://www.terresdeperche.fr"
CC Cœur de Berry,200070571,CC,24,18,8576,3500 ≤ hab < 10.000,coeurdeberry@orange.fr,02 48 51 13 73,http://www.coeurdeberry.fr
CC Cœur de Brenne,243600343,CC,24,36,4900,3500 ≤ hab < 10.000,cdc@coeurdebrenne.fr,02 54 38 18 60,http://www.coeurdebrenne.fr
CC Cœur de Charente,200072023,CC,75,16,22539,10.000 ≤ hab < 100.000,secretariat@coeurdecharente.fr,05 45 20 68 46,http://www.coeurdecharente.fr
CC Cœur de Chartreuse,200040111,CC,84,"38,73",17326,10.000 ≤ hab < 100.000,accueil@cc-coeurdechartreuse.fr,04 76 66 81 74,http://www.coeurdechartreuse.fr
CC Cœur de France,200036135,CC,24,18,19260,10.000 ≤ hab < 100.000,contact@cc-coeurdefrance.fr,02 48 82 11 46,http://www.cc-coeurdefrance.fr
CC Cœur de l'Avesnois,200043263,CC,32,59,30997,10.000 ≤ hab < 100.000,accueil@coeur-avesnois.fr,03 27 56 11 80,http://www.coeur-avesnois.fr
CC Cœur de Loire,200067916,CC,27,58,26522,10.000 ≤ hab < 100.000,contact@coeurdeloire.fr,03 86 28 92 92,http://www.coeurdeloire.fr
CC Cœur de Lozère,244800405,CC,76,48,16108,10.000 ≤ hab < 100.000,directiongenerale@coeurdelozere.fr,04 66 94 09 67,http://www.coeurdelozere.fr
CC Cœur de Maurienne Arvan,200070464,CC,84,73,15341,10.000 ≤ hab < 100.000,contact@3cma73.com,04 79 83 07 20,http://www.coeurdemaurienne.com
CC Cœur de Nacre,241400860,CC,28,14,24442,10.000 ≤ hab < 100.000,contact@coeurdenacre.fr,02 31 97 43 32,http://www.coeurdenacre.fr
CC Cœur de Saintonge,241700517,CC,75,17,17727,10.000 ≤ hab < 100.000,cdc@coeurdesaintonge.fr,05 46 95 35 83,http://www.coeurdesaintonge.fr
CC Cœur de Savoie,200041010,CC,84,73,37381,10.000 ≤ hab < 100.000,secretariat@cc.coeurdesavoie.fr,04 79 84 36 27,http://www.coeurdesavoie.fr
CC Cœur de Sologne,200000800,CC,24,41,10809,10.000 ≤ hab < 100.000,contact@coeurdesologne.com,02 54 83 09 92,http://www.coeurdesologne.com
CC Cœur de Tarentaise,200023299,CC,84,73,9755,3500 ≤ hab < 10.000,contact@coeurdetarentaise.fr,04 79 24 41 41,http://www.coeurdetarentaise.fr
CC Coeur du Pays Haut,200070290,CC,44,"54,55",23801,10.000 ≤ hab < 100.000,secretariat@coeurdupayshaut.fr,03 82 21 59 00,http://www.coeurdupayshaut.fr
CC Cœur du Perche,200068435,CC,28,61,11843,10.000 ≤ hab < 100.000,administration@coeurduperche.fr,02 33 25 44 85,http://www.cdc.coeurduperche.com
CC Cœur du Var,248300550,CC,93,83,43451,10.000 ≤ hab < 100.000,,,
CC Cœur et Coteaux du Comminges,200072643,CC,76,31,45524,10.000 ≤ hab < 100.000,contact@la5c.fr,05 61 89 21 42,http://www.coeurcoteaux-comminges.fr
CC Cœur Haute Lande,200069656,CC,75,40,15989,10.000 ≤ hab < 100.000,accueil.chl@coeurhautelande.fr,05 58 51 03 71,http://www.coeurhautelande.fr
CC Commentry Montmarault Néris Communauté,200071512,CC,84,03,26995,10.000 ≤ hab < 100.000,cmnc@cmnc03.fr,04 70 09 77 20,http://www.cmnc03.fr
CC Communauté Bray-Eawy,200070068,CC,28,76,26122,10.000 ≤ hab < 100.000,contact@brayeawy.fr,02 32 97 45 65,http://www.brayeawy.fr
CC Communauté Lesneven Côte des Légendes,242900793,CC,53,29,28248,10.000 ≤ hab < 100.000,contact@clcl.bzh,02 98 21 11 77,http://www.clcl.bzh
CC Comtal Lot et Truyère,200067478,CC,76,12,19651,10.000 ≤ hab < 100.000,secretariat@3clt.fr,05 65 48 29 02,http://comtal-lot-truyere.fr
CC Conflent-Canigó,200049211,CC,76,66,21511,10.000 ≤ hab < 100.000,contact@conflentcanigo.fr,04 68 05 05 13,http://www.conflentcanigo.fr
CC Conques-Marcillac,241200641,CC,76,12,12227,10.000 ≤ hab < 100.000,,,
CC Convergence Garonne,200069581,CC,75,33,32846,10.000 ≤ hab < 100.000,contact@convergence-garonne.fr,05 56 76 38 00,http://www.convergence-garonne.fr
CC Corbières Salanque Méditerranée,200070365,CC,76,"11,66",21937,10.000 ≤ hab < 100.000,,,
CC Côte d'Émeraude,243500725,CC,53,"22,35",31767,10.000 ≤ hab < 100.000,accueil@cote-emeraude.fr,02 23 15 13 15,http://www.cote-emeraude.fr
CC Côte Landes Nature,244000857,CC,75,40,11784,10.000 ≤ hab < 100.000,secretariat@cc-cln.fr,05 58 55 08 75,http://www.cc-cln.fr
CC Côte Ouest Centre Manche,200067031,CC,28,50,22616,10.000 ≤ hab < 100.000,contact@cocm.fr,02 33 07 11 79,http://www.cocm.fr
CC Coteaux et Plaines du Pays Lafrançaisain,200067122,CC,76,82,11254,10.000 ≤ hab < 100.000,,,
CC Coteaux et Vallées des Luys,244000881,CC,75,40,7798,3500 ≤ hab < 10.000,contact@cc-luys.fr,05 58 89 00 50,http://www.cc-luys.fr
CC Côtes de Champagne et Val de Saulx,200067379,CC,44,51,12251,10.000 ≤ hab < 100.000,contact@4cvs.fr,03 26 41 25 72,http://www.4cvs.fr
CC Côtes de Meuse Woëvre,200034874,CC,44,55,6196,3500 ≤ hab < 10.000,accueil@cc-cotesdemeuse-woevre.fr,03 29 90 00 60,http://www.cc-cotesdemeuse-woevre.fr
CC Couesnon Marches de Bretagne,200070688,CC,53,35,22424,10.000 ≤ hab < 100.000,contact@couesnon-marchesdebretagne.fr,02 99 97 71 80,http://www.couesnon-marchesdebretagne.fr
CC Couserans-Pyrénées,200067940,CC,76,09,30819,10.000 ≤ hab < 100.000,communaute.communes@couserans-pyrenees.fr,05 61 66 71 62,https://couserans-pyrenees.fr
CC Coutances Mer et Bocage,200067023,CC,28,50,50606,10.000 ≤ hab < 100.000,contact@communaute-coutances.fr,02 33 76 55 55,http://www.coutancesmeretbocage.fr
CC Creuse Confluence,200067544,CC,75,23,17242,10.000 ≤ hab < 100.000,contact@creuseconfluence.com,05 55 65 83 94,http://www.creuseconfluence.com
CC Creuse Grand Sud,200044014,CC,75,23,12725,10.000 ≤ hab < 100.000,contact@creuse-grand-sud.fr,05 55 67 79 98,http://www.creuse-grand-sud.fr
CC Creuse Sud Ouest,200067189,CC,75,23,14489,10.000 ≤ hab < 100.000,,,
CC d'Aire-sur-l'Adour,200030435,CC,"75,76","32,40",13602,10.000 ≤ hab < 100.000,cdc@cdcaire.org,05 58 45 19 05,http://www.cdcaire.org
"CC d'Arcis,Mailly,Ramerupt",200071777,CC,44,10,11781,10.000 ≤ hab < 100.000,contact@ccamr.fr,03 25 37 69 42,http://www.arcismaillyramerupt.fr
CC d'Auberive Vingeanne et Montsaugeonnais,200027308,CC,44,52,8614,3500 ≤ hab < 10.000,ccavm@ccavm.fr,03 25 87 31 04,http://www.ccavm.fr
CC d'Entre Bièvre et Rhône,200085751,CC,84,38,68947,10.000 ≤ hab < 100.000,accueil@entre-bievreetrhone.fr,04 74 29 31 00,http://www.entre-bievreetrhone.fr
CC d'Erdre et Gesvres,244400503,CC,52,44,62337,10.000 ≤ hab < 100.000,contact@cceg.fr,02 28 02 22 40,http://www.cceg.fr
CC de Bayeux Intercom,241400555,CC,28,14,30840,10.000 ≤ hab < 100.000,siege@bayeux-intercom.fr,02 31 51 63 00,http://www.bayeux-intercom.fr
CC de Belle-Île-en-Mer,245600465,CC,53,56,5532,3500 ≤ hab < 10.000,ccbi@ccbi.fr,02 97 31 83 04,http://www.ccbi.fr
CC de Bénévent Grand Bourg,242320000,CC,75,23,,,accueil@ccbgb.fr,05 55 80 38 20,https://benevent-legrandbourg.fr
CC de Bièvre Est,243801073,CC,84,38,22472,10.000 ≤ hab < 100.000,correspondances@cc-bievre-est.fr,04 76 06 10 94,http://www.cc-bievre-est.fr
CC de Blavet Bellevue Océan,245600440,CC,53,56,18338,10.000 ≤ hab < 100.000,contact@ccbbo.fr,02 97 65 62 90,https://www.ccbbo.fr
CC de Blaye,200023794,CC,75,33,21010,10.000 ≤ hab < 100.000,ccb@ccb-blaye.com,05 57 42 33 33,http://www.ccb-blaye.com
CC de Bléré Val de Cher,243700820,CC,24,37,21898,10.000 ≤ hab < 100.000,info@cc-autourdechenonceaux.fr,02 47 23 58 63,http://www.cc-autourdechenonceaux.fr
CC de Brocéliande,243500618,CC,53,35,18349,10.000 ≤ hab < 100.000,accueil@cc-broceliande.bzh,02 99 06 84 45,http://www.cc-broceliande.bzh
CC de Calvi Balagne,242020105,CC,94,2B,12132,10.000 ≤ hab < 100.000,accueil@cc-calvi-balagne.fr,04 95 62 88 41,http://www.cc-calvi-balagne.fr
CC de Cattenom et Environs,245700695,CC,44,57,26224,10.000 ≤ hab < 100.000,accueil@cc-ce.com,03 82 82 05 60,http://www.cc-ce.fr
CC de Cèze Cévennes,200035129,CC,"76,84","07,30",19519,10.000 ≤ hab < 100.000,info@ceze-cevennes.fr,04 66 83 77 87,http://www.ceze-cevennes.fr
CC de Commercy - Void - Vaucouleurs,200066157,CC,44,55,23372,10.000 ≤ hab < 100.000,cc-cvv@orange.fr,03 29 91 21 88,http://www.cc-cvv.fr
CC de Damvillers Spincourt,200066173,CC,44,55,8541,3500 ≤ hab < 10.000,codecom@damvillers-spincourt.fr,03 29 85 95 44,http://www.damvillers-spincourt.fr
CC de Desvres-Samer,200018083,CC,32,62,23419,10.000 ≤ hab < 100.000,com.com@cc-desvressamer.fr,03 21 92 07 20,http://www.cc-desvressamer.fr
CC de Domme-Villefranche du Périgord,200041440,CC,75,24,8913,3500 ≤ hab < 10.000,contact@comcomdv.fr,05 53 29 09 14,http://www.domme-villefranche-du-perigord.fr
CC de Fium'orbu Castellu,200033827,CC,94,2B,13136,10.000 ≤ hab < 100.000,"accueil@ccfc.corsica, contact@costa-verde.fr","04 95 56 10 10, 04 95 38 47 39","http://www.ccfiumorbucastellu.corsica, http://www.costa-verde.fr"
CC de Flandre Intérieure,200040947,CC,32,59,104198,100.000 ≤ hab < 500.000,mailccom@cc-flandreinterieure.fr,03 74 54 00 59,http://www.cc-flandreinterieure.fr
CC de Freyming-Merlebach,245700398,CC,44,57,32757,10.000 ≤ hab < 100.000,ccfm@cc-freyming-merlebach.fr,03 87 00 21 50,http://www.cc-freyming-merlebach.fr
CC de Gâtine et Choisilles - Pays de Racan,200073237,CC,24,37,21851,10.000 ≤ hab < 100.000,accueil@gatine-racan.fr,02 47 29 81 00,http://www.gatine-racan.fr
CC de Gémozac et de la Saintonge Viticole,241700632,CC,75,17,14500,10.000 ≤ hab < 100.000,contact@cdcgemozac.fr,05 46 94 50 19,http://www.cc-canton-gemozac.fr
CC de Gevrey-Chambertin et de Nuits-Saint-Georges,200070894,CC,27,21,30545,10.000 ≤ hab < 100.000,contact@ccgevrey-nuits.com,03 80 27 04 70,http://www.ccgevrey-chambertin-et-nuits-saint-georges.com
CC de Grand Lieu,244400438,CC,52,44,39210,10.000 ≤ hab < 100.000,grandlieu@grandlieu.fr,02 51 70 91 11,http://www.grandlieu.fr
"CC de Granville,Terre et Mer",200042604,CC,28,50,46211,10.000 ≤ hab < 100.000,contact@granville-terre-mer.fr,02 33 91 38 60,http://www.granville-terre-mer.fr
CC de Hanau-La Petite Pierre,200067783,CC,44,67,27459,10.000 ≤ hab < 100.000,accueil@hanau-lapetitepierre.alsace,03 88 71 31 79,http://www.hanau-lapetitepierre.alsace
CC de Haute-Cornouaille,242900561,CC,53,29,15288,10.000 ≤ hab < 100.000,contact@haute-cornouaille.bzh,02 98 73 25 36,http://www.haute-cornouaille.bzh
CC de Haute-Tarentaise,247300254,CC,84,73,16541,10.000 ≤ hab < 100.000,contact@hautetarentaise.fr,04 79 41 01 63,http://www.hautetarentaise.fr
CC de l'Agglomération Migennoise,248900383,CC,27,89,15311,10.000 ≤ hab < 100.000,,,
CC de l'Aillantais,248900524,CC,27,89,10665,10.000 ≤ hab < 100.000,,,
CC de l'Aire à l'Argonne,200066140,CC,44,55,6746,3500 ≤ hab < 10.000,contact@cc-aireargonne.fr,03 29 70 61 17,http://www.cc-aireargonne.fr
CC de l'Aire Cantilienne,246000764,CC,32,60,46079,10.000 ≤ hab < 100.000,contact@ccac.fr,03 44 62 46 60,http://www.ccac.fr
CC de l'Alsace Bossue,200067841,CC,44,67,25279,10.000 ≤ hab < 100.000,accueil@ccab.eu,03 88 01 67 07,http://www.alsace-bossue.fr
CC de l'Alta Rocca,242000495,CC,94,2A,8621,3500 ≤ hab < 10.000,secretariat@alta-rocca.com,04 95 78 47 93,http://www.alta-rocca.com
CC de l'Arc Mosellan,245701354,CC,44,57,34992,10.000 ≤ hab < 100.000,secretariat@arcmosellan.fr,03 82 83 21 57,http://www.arcmosellan.fr
CC de l'Argonne Ardennaise,240800920,CC,44,08,17996,10.000 ≤ hab < 100.000,secretariat@argonne-ardennaise.fr,03 24 30 23 94,http://www.argonne-ardennaise.fr
CC de l'Argonne Champenoise,200042703,CC,44,51,12410,10.000 ≤ hab < 100.000,contact@cc-argonnechampenoise.fr,03 26 60 17 38,http://www.argonnechampenoise.fr
CC de l'Ernée,245300355,CC,52,53,21435,10.000 ≤ hab < 100.000,accueil@lernee.fr,02 43 05 98 80,http://www.cc-lernee.fr
CC de l'Est de la Somme,200070985,CC,32,"02,80",21015,10.000 ≤ hab < 100.000,,,
CC de l'Est Guyanais,249730052,CC,03,973,7100,3500 ≤ hab < 10.000,,,
CC de l'Est Lyonnais (CCEL),246900575,CC,84,69,41019,10.000 ≤ hab < 100.000,accueil@ccel.fr,04 72 79 05 34,http://www.ccel.fr
CC de l'Estuaire,243300811,CC,75,33,16077,10.000 ≤ hab < 100.000,contact@cc-estuaire.fr,05 57 42 61 99,http://www.cc-estuaire.fr
CC de l'Île d'Oléron,241700624,CC,75,17,22763,10.000 ≤ hab < 100.000,accueil@cdc-oleron.fr,05 46 47 24 68,http://www.cdc-oleron.com
CC de l'Île de Noirmoutier,248500191,CC,52,85,9642,3500 ≤ hab < 10.000,,,
CC de l'Île de Ré,241700459,CC,75,17,17792,10.000 ≤ hab < 100.000,accueil@cc-iledere.fr,05 46 09 00 97,https://cdciledere.fr
CC de l'Île-Rousse - Balagne,200073104,CC,94,2B,10694,10.000 ≤ hab < 100.000,contact@ccirb.fr,04 95 46 31 34,https://www.lisula-balagna.fr
CC de l'Oisans,243800745,CC,84,38,10932,10.000 ≤ hab < 100.000,accueil@ccoisans.fr,04 76 11 01 09,http://www.ccoisans.fr
CC de l'Oise Picarde,200068005,CC,32,60,21753,10.000 ≤ hab < 100.000,contact@cc-oisepicarde.fr,03 44 80 84 01,http://www.cc-oisepicarde.fr
CC de l'Oriente,200015162,CC,94,2B,6171,3500 ≤ hab < 10.000,comcomoriente@orange.fr,04 95 57 97 63,https://oriente.fr
CC de l'Orvin et de l'Ardusson,241000488,CC,44,10,8682,3500 ≤ hab < 10.000,,,
CC de l'Ouest Guyanais,249730037,CC,03,973,93674,10.000 ≤ hab < 100.000,,,
CC de l'Ouest Vosgien,200068559,CC,44,"52,88",24267,10.000 ≤ hab < 100.000,,,
CC de l'Oust à Brocéliande,200066785,CC,53,56,40135,10.000 ≤ hab < 100.000,contact@oust-broceliande.bzh,02 97 75 01 02,http://www.oust-broceliande.bzh
CC de l'Outre-Forêt,200040178,CC,44,67,16389,10.000 ≤ hab < 100.000,contact@cc-outreforet.fr,03 88 05 61 10,http://www.cc-outreforet.fr
CC de la Baie du Cotentin,200042729,CC,28,50,23998,10.000 ≤ hab < 100.000,contact@ccbdc.fr,02 33 71 90 90,http://www.ccbdc.fr
CC de la Basse-Zorn,246700843,CC,44,67,17410,10.000 ≤ hab < 100.000,info@cc-basse-zorn.fr,03 90 64 25 50,http://www.cc-basse-zorn.fr
CC de la Beauce Loirétaine,200035764,CC,24,45,16948,10.000 ≤ hab < 100.000,contact@cc-beauceloiretaine.fr,02 38 78 94 16,http://www.cc-beauceloiretaine.fr
CC de la Brie Champenoise,245100888,CC,44,51,7608,3500 ≤ hab < 10.000,accueil@cc-briechampenoise.fr,03 26 81 36 61,http://www.cc-briechampenoise.fr
CC de la Castagniccia-Casinca,200073252,CC,94,2B,12575,10.000 ≤ hab < 100.000,contact@castagnicciacasinca.fr,04 95 30 61 09,http://www.castagnicciacasinca.fr
CC de la Champagne Conlinoise et du Pays de Sillé,200072718,CC,52,72,19097,10.000 ≤ hab < 100.000,contact@4cps.fr,02 43 52 11 67,http://www.4cps.fr
CC de la Champagne Picarde,240200576,CC,32,02,21418,10.000 ≤ hab < 100.000,info@cc-champagnepicarde.fr,03 23 22 36 80,http://www.cc-champagnepicarde.fr
CC de la Châtaigneraie Cantalienne,200066678,CC,84,15,22004,10.000 ≤ hab < 100.000,accueil@chataigneraie15.fr,04 71 49 33 30,http://www.chataigneraie15.fr
CC de la Châtre et Sainte-Sévère,243600350,CC,24,36,17070,10.000 ≤ hab < 100.000,s.administratif@cc-lachatre-stesevere.fr,02 54 62 10 10,http://www.valleenoire.fr
"CC de la Cléry,du Betz et de l'Ouanne",200067668,CC,"24,27","45,89",21075,10.000 ≤ hab < 100.000,accueil@3cbo.fr,02 38 95 25 15,http://www.3cbo.fr
CC de la Costa Verde,200034205,CC,94,2B,10337,10.000 ≤ hab < 100.000,,,
CC de la Côte d'Albâtre,200069839,CC,28,76,28770,10.000 ≤ hab < 100.000,email@cote-albatre.com,02 35 57 85 00,http://www.cote-albatre.fr
CC de la Côtière à Montluel,240100610,CC,84,01,25112,10.000 ≤ hab < 100.000,infos@3cm.fr,04 78 06 39 37,http://www.3cm.fr
CC de la Dombes,200069193,CC,84,01,39112,10.000 ≤ hab < 100.000,,,
CC de la Forêt,244500484,CC,24,45,16841,10.000 ≤ hab < 100.000,contact@cc-foret.fr,02 38 91 52 88,http://www.cc-foret.fr
CC de la Gascogne Toulousaine,200023620,CC,76,"31,32",21933,10.000 ≤ hab < 100.000,accueil@ccgascognetoulousaine.com,05 62 07 71 16,http://www.ccgascognetoulousaine.com
CC de la Grande Vallée de la Marne,245100615,CC,44,51,15362,10.000 ≤ hab < 100.000,info@ccgvm.com,03 26 56 95 20,http://www.ccgvm.com
CC de la Haute Ariège,200066363,CC,76,09,7440,3500 ≤ hab < 10.000,administration.generale@cc-hauteariege.fr,05 61 64 68 00,http://www.cc-hauteariege.fr
CC de la Haute Comté,200041721,CC,27,70,18703,10.000 ≤ hab < 100.000,contact@cchc.fr,03 84 94 17 93,http://www.cchc.fr
CC de la Haute Vallée de Chevreuse,200033173,CC,11,78,25738,10.000 ≤ hab < 100.000,cchvc78@orange.fr,01 30 52 83 83,http://www.cchvc.fr
CC de la Haute-Saintonge,200041523,CC,75,17,70100,10.000 ≤ hab < 100.000,,,
CC de la Haute-Somme,200037059,CC,32,80,28547,10.000 ≤ hab < 100.000,,,
CC de la Lomagne Gersoise,243200391,CC,76,32,20081,10.000 ≤ hab < 100.000,communaute-de-communes@lomagne-gersoise.com,05 62 64 22 55,http://www.lomagne-gersoise.com
CC de la Lomagne Tarn-et-Garonnaise,248200065,CC,76,82,10279,10.000 ≤ hab < 100.000,,,
CC de la Marche Berrichonne,200007052,CC,24,36,5830,3500 ≤ hab < 10.000,contact@ccmarcheberrichonne.fr,02 54 06 37 33,http://www.ccmarcheberrichonne.fr
CC de la Matheysine,200040657,CC,84,38,19643,10.000 ≤ hab < 100.000,contact@ccmatheysine.fr,04 76 81 18 24,http://www.ccmatheysine.fr
CC de la Moivre à la Coole,200043438,CC,44,51,10093,10.000 ≤ hab < 100.000,contact@ccmoivrecoole.fr,03 26 63 67 28,http://www.ccmoivrecoole.fr
CC de la Montagne d'Ardèche,200072007,CC,84,07,5046,3500 ≤ hab < 10.000,,,
CC de la Montagne Noire,200042463,CC,76,11,6031,3500 ≤ hab < 10.000,contact@cdcmontagnenoire.fr,04 68 11 12 40,http://www.cdcmontagnenoire.fr
CC de la Mossig et du Vignoble,200068864,CC,44,67,24899,10.000 ≤ hab < 100.000,contact@mossigvignoble.fr,03 88 59 12 10,http://www.mossigvignoble.fr
CC de la Muse et des Raspes du Tarn,241200914,CC,76,12,5595,3500 ≤ hab < 10.000,cc.museetraspesdutarn@orange.fr,05 65 59 12 64,http://www.cc-museetraspesdutarn.fr
CC de la Picardie Verte,246000848,CC,32,60,33665,10.000 ≤ hab < 100.000,ccpv@ccpv.fr,03 44 04 53 90,https://www.picardieverte.com
CC de la Pieve de l'Ornano et du Taravo,200038958,CC,94,2A,12408,10.000 ≤ hab < 100.000,ccpieveornano@orange.fr,04 95 23 02 00,http://www.pieveornano.fr
CC de la Plaine d'Estrées,246000897,CC,32,60,18170,10.000 ≤ hab < 100.000,contact@cc-pe.fr,03 44 41 31 43,http://www.ccplaine-estrees.com
CC de la Plaine de l'Ain,240100883,CC,84,01,78956,10.000 ≤ hab < 100.000,contact@cc-plainedelain.fr,04 74 61 96 40,http://www.cc-plainedelain.fr
